,nmin,tmin,nmax,tmax
SC,5000,33,1300000,1801118
SS,5000,32,1300000,1800827
SR,5000,29,1300000,1800888
IC,10000000,29,1000000000,3108
IS,10000000,26,1000000000,3329
IR,5000,25,1700000,1796473
MC,500000,31,1000000000,80434
MS,500000,30,1000000000,84670
MR,250000,32,1000000000,191998
QC,5000,33,800000,683788
QS,300000,28,1000000000,105107
QR,250000,34,1000000000,202334
